route,page_type,faq_page,faq_count,video_count,service,blog_or_article,place,content_faq_items,notes
/5-signs-you-need-an-immediate-emergency-dental-extraction,service,1,5,0,1,0,0,5,
/Invisalign-service-clearwater-fl,service,1,5,1,1,0,0,5,
/Ultra-skin-resurfacing,service,1,5,1,1,0,0,5,
/XERF-skin-tightening,service,1,5,1,1,0,0,5,
/accessibility-statement,policy,0,0,0,0,0,0,0,
/alphaeon,finance,0,0,0,1,0,0,0,
/anti-anxiety-dentist-office,service,1,5,0,1,0,0,5,
/before-and-after,gallery,0,0,0,0,0,0,0,
/blog/are-dental-implants-painful,blogPost,0,0,0,0,1,0,0,
/blog/dental-cleaning-frequency-implants,blogPost,0,0,0,0,1,0,0,
/blog/dental-implant-process-timeline,blogPost,0,0,0,0,1,0,0,
/blog/dental-implant-timeline,blogPost,0,0,0,0,1,0,0,
/blog/dentist-for-anxious-patients-clearwater,blogPost,0,0,0,0,1,0,0,
/blog/emergency-dentist-clearwater-fl,blogPost,0,0,0,0,1,0,0,
/blog/havent-been-to-dentist-in-years,blogPost,0,0,0,0,1,0,0,
/blog/how-long-do-dental-implants-last,blogPost,0,0,0,0,1,0,0,
/blog,blogIndex,0,0,0,0,0,0,0,
/blog/questions-to-ask-dentist-consultation,blogPost,0,0,0,0,1,0,0,
/blog/smile-makeover-timeline-clearwater,blogPost,0,0,0,0,1,0,0,
/blog/smile-makeover-timeline,blogPost,0,0,0,0,1,0,0,
/blog/therapy-dog-dentist-clearwater,blogPost,0,0,0,0,1,0,0,
/blog/why-clearwater-dentist-dr-nadia,blogPost,0,0,0,0,1,0,0,
/bone-grafting,service,1,5,0,1,0,0,5,
/choosing-the-right-procedures-for-your-smile-makeover,service,1,5,0,1,0,0,5,
/clearwater-dentist-dental-benefit-plans,service,1,5,0,1,0,0,5,
/clearwater-dentist-join-the-safety-harbor-chamber-of-commerce,service,1,5,0,1,0,0,5,
/contact-us,contact,0,0,0,0,0,0,0,
/cosmetic-dentistry-in-clearwater-fl-types-of-smile-correction-procedures,service,1,5,0,1,0,0,5,
/cosmetic-dentistry,service,1,5,0,1,0,0,5,
/crowns-and-bridges,service,1,5,2,1,0,0,5,
/dental-anxiety-tips-for-overcoming-fear-of-the-dentist,service,1,5,0,0,1,0,5,
/dental-implants-clearwater-fl,service,1,5,0,1,0,0,5,
/dental-implants-in-clearwater-why-material-matters-how-our-team-makes-it-easy,service,1,5,0,1,0,0,5,
/dental-therapy-dogs-clearwater-fl,service,1,5,1,1,0,0,5,
/dentist-clearwater-fl,serviceArea,1,5,0,1,0,1,5,
/dentist-dunedin-fl,serviceArea,1,5,0,1,0,1,5,
/dentist-largo-fl,serviceArea,1,5,0,1,0,1,5,
/dentist-palm-harbor-fl,serviceArea,1,5,0,1,0,1,5,
/dentist-safety-harbor-fl,serviceArea,1,5,0,1,0,1,5,
/emergency-dentistry-clearwater-fl,service,1,5,2,1,0,0,5,
/facial-esthetics,service,1,5,0,1,0,0,5,
/financial-policy,policy,0,0,0,0,0,0,0,
/financing/carecredit,finance,0,0,0,1,0,0,0,
/financing,finance,0,0,0,1,0,0,0,
/general-dentistry-in-clearwater-fl-the-benefits-of-a-dental-deep-cleaning,service,1,5,0,1,0,0,5,
/general-dentistry,service,1,4,2,1,0,0,4,
/gum-disease-treatment,service,1,5,1,1,0,0,5,
/holistic-orthodontics,service,1,5,0,1,0,0,5,
/how-emergency-dentistry-in-clearwater-fl-can-relieve-your-pain,service,1,5,0,0,1,0,5,
/implant-supported-dentures-clearwater-fl,service,1,5,0,1,0,0,5,
/,home,1,6,1,0,0,0,6,
/invisalign-and-oral-health-beyond-straight-teeth,service,1,5,0,1,0,0,5,
/laser-dentistry,service,1,5,0,1,0,0,5,
/meet-the-doctor,doctor,0,0,0,0,0,0,0,
/meet-the-team,team,0,0,0,0,0,0,0,
/needle-free-dentistry-in-clearwater-discover-the-solea-laser-experience,service,1,5,0,0,1,0,5,
/new-patient-faqs,service,1,18,0,1,0,0,18,
/notice-of-privacy-practices,policy,0,0,0,0,0,0,0,
/oral-cancer-screening,service,1,4,0,1,0,0,4,
/pediatric-dentistry-clearwater-fl,service,1,5,0,1,0,0,5,
/pediatric-dentistry-establishing-healthy-habits-early-on,service,1,5,0,1,0,0,5,
/porcelain-veneers-clearwater-fl,service,1,5,1,1,0,0,5,
/privacy-policy,policy,0,0,0,0,0,0,0,
/restorative-dentist-clearwater,service,1,10,0,1,0,0,10,
/root-canal-clearwater-fl,service,1,5,0,1,0,0,5,
/sedation-dentistry-clearwater-fl,service,1,5,1,1,0,0,5,
/smile-makeover,service,1,5,0,1,0,0,5,
/smiling-through-life-the-link-between-oral-health-and-overall-well-being,service,1,5,0,1,0,0,5,
/solea-sleep,service,1,5,0,1,0,0,5,
/sunbit,finance,0,0,0,1,0,0,0,
/taming-toothaches-home-remedies-and-when-to-see-a-dentist,service,1,5,0,0,1,0,5,
/teeth-whitening-clearwater-fl,service,1,5,0,1,0,0,5,
/terms-and-conditions,policy,0,0,0,0,0,0,0,
/the-benefits-of-a-family-dentist-comprehensive-care-under-one-roof,service,1,5,0,0,1,0,5,
/the-clearwater-glow-up-5-secrets-to-a-vacation-ready-smile-without-the-resort-price-tag,service,1,5,0,0,1,0,5,
/the-impact-of-missing-teeth-on-your-overall-health,service,1,5,0,0,1,0,5,
/the-importance-of-regular-dental-check-ups-for-all-ages,service,1,5,0,0,1,0,5,
/the-latest-advancements-in-cosmetic-dentistry,service,1,5,0,0,1,0,5,
/tmj-treatment-clearwater-fl,service,1,5,0,1,0,0,5,
/tooth-extraction-clearwater-fl,service,1,5,0,1,0,0,5,
/v-soft-pdo-thread-lifts-in-clearwater-lift-smooth-and-rejuvenate-without-surgery,service,1,5,0,1,0,0,5,
/what-is-a-dental-therapy-dog,service,1,5,0,0,1,0,5,
